,x,y
0,6,7
1,7,7
2,7,6
3,7,4
4,3,3
5,1,6
6,2,4
7,2,5
8,1,5
9,4,3
10,7,5
11,6,4
12,5,6
13,5,7
14,5,4
15,6,3
16,5,5
17,5,3
