,x,y
0,5,5
1,5,4
2,5,3
3,4,2
4,3,2
5,2,2
6,2,3
7,1,4
8,1,5
9,2,6
10,3,6
11,4,7
12,5,7
13,6,7
14,7,6
15,8,5
16,8,4
17,8,3
