,x,y
0,3,3
1,2,3
2,1,2
3,1,2
4,1,2
5,1,2
6,2,8
7,2,8
8,2,8
9,5,7
10,6,5
11,7,3
12,7,4
13,7,5
14,7,6
15,7,7
16,7,8
17,7,9
