,x,y
0,9,5
1,9,4
2,8,3
3,9,3
4,9,6
5,7,7
6,8,7
7,6,7
8,4,6
9,5,6
10,5,5
11,5,7
12,2,7
13,3,7
14,1,6
15,1,4
16,1,5
17,2,3
