,x,y
0,1.1666666666666667,-0.7500000000000001
1,1.1,-0.7500000000000001
2,1.0333333333333334,-0.8166666666666668
3,0.9666666666666668,-0.8833333333333334
4,0.9666666666666668,-0.9500000000000001
5,0.9666666666666668,-1.0166666666666668
6,0.9666666666666668,-1.0833333333333335
7,1.0333333333333334,-1.1500000000000001
8,1.1,-1.1500000000000001
9,1.1666666666666667,-1.1500000000000001
10,1.2333333333333334,-1.1500000000000001
11,1.2333333333333334,-1.1500000000000001
12,1.2333333333333334,-1.0833333333333335
13,1.2333333333333334,-1.0166666666666668
14,1.1666666666666667,-1.0166666666666668
15,1.1,-1.0166666666666668
16,1.0333333333333334,-1.0166666666666668
